CodingHours,CoffeeCupsPerDay,CoffeeTime,CodingWithCoffee,CoffeeType,CoffeeSolveBugs,Gender,Country,AgeRange
3,3,Before coding,Yes,Cappuccino,Yes,Female,Egypt,18 to 29
3,3,While coding,Yes,Cappuccino,Yes,Female,Egypt,18 to 29
8,8,Before coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
8,8,While coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
3,3,While coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
5,5,Before coding,Yes,Nescafe,Yes,Female,Egypt,18 to 29
5,5,While coding,Yes,Nescafe,Yes,Female,Egypt,18 to 29
3,3,All the time,Sometimes,Cappuccino,Sometimes,Female,Egypt,18 to 29
5,5,Before coding,No,Caffè latte,Sometimes,Female,Egypt,18 to 29
5,5,While coding,No,Caffè latte,Sometimes,Female,Egypt,18 to 29
4,4,All the time,Sometimes,Nescafe,No,Female,Egypt,18 to 29
5,5,Before coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
5,5,While coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
2,2,Before coding,Yes,Turkish,Sometimes,Male,Egypt,18 to 29
2,2,While coding,Yes,Turkish,Sometimes,Male,Egypt,18 to 29
8,8,While coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
3,3,All the time,Sometimes,Turkish,Sometimes,Male,Egypt,18 to 29
3,3,All the time,No,Cappuccino,Yes,Female,Egypt,18 to 29
4,4,All the time,No,Nescafe,No,Male,Egypt,18 to 29
5,5,Before coding,Yes,Nescafe,No,Female,Egypt,18 to 29
7,7,All the time,Yes,Double Espresso (Doppio),Sometimes,Male,Egypt,18 to 29
4,4,Before coding,Sometimes,Turkish,Sometimes,Male,Egypt,18 to 29
4,4,While coding,Sometimes,Turkish,Sometimes,Male,Egypt,18 to 29
3,3,While coding,No,Turkish,Sometimes,Male,Egypt,18 to 29
6,6,Before coding,Sometimes,Nescafe,Yes,Female,Egypt,18 to 29
6,6,While coding,Sometimes,Nescafe,Yes,Female,Egypt,18 to 29
5,5,All the time,No,Nescafe,No,Male,Egypt,18 to 29
5,5,Before coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
5,5,While coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
5,5,All the time,Sometimes,Nescafe,No,Female,Egypt,18 to 29
