,CodingHours,CoffeeCupsPerDay,CoffeeTime,CodingWithoutCoffee,CoffeeType,CoffeeSolveBugs,Gender,Country,AgeRange
0,8.0,2.0,Before coding,Yes,Caffè latte,Sometimes,Female,Lebanon,18 to 29
1,3.0,2.0,Before coding,Yes,Americano,Yes,Female,Lebanon,30 to 39
2,5.0,3.0,While coding,No,Nescafe,Yes,Female,Lebanon,18 to 29
3,8.0,2.0,Before coding,No,Nescafe,Yes,Male,Lebanon,18 to 29
4,10.0,3.0,While coding,Sometimes,Turkish,No,Male,Lebanon,18 to 29
5,8.0,2.0,While coding,Sometimes,Nescafe,Yes,Male,Lebanon,30 to 39
6,5.0,2.0,While coding,Yes,Nescafe,Sometimes,Male,Lebanon,18 to 29
7,10.0,4.0,Before coding,Sometimes,Turkish,Sometimes,Male,Lebanon,18 to 29
8,10.0,2.0,While coding,Yes,American Coffee,Sometimes,Male,Lebanon,30 to 39
9,10.0,2.0,While coding,Yes,Nescafe,No,Male,Lebanon,30 to 39
10,10.0,3.0,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,30 to 39
11,2.0,3.0,Before coding,Sometimes,Turkish,Yes,Male,Lebanon,30 to 39
12,8.0,2.0,Before and while coding,No,Nescafe,Yes,Male,Lebanon,30 to 39
13,9.0,3.0,While coding,Sometimes,Nescafe,Yes,Male,Lebanon,30 to 39
14,6.0,1.0,Before coding,Yes,Nescafe,Sometimes,Male,Lebanon,18 to 29
15,6.0,3.0,While coding,No,Americano,Yes,Female,Lebanon,30 to 39
16,10.0,3.0,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,30 to 39
17,6.0,4.0,While coding,Yes,Turkish,Sometimes,Male,Lebanon,30 to 39
18,8.0,3.0,While coding,No,Nescafe,No,Male,Lebanon,18 to 29
19,3.0,1.0,In the morning,Yes,Nescafe,Sometimes,Female,Lebanon,30 to 39
20,3.0,3.0,While coding,Yes,Espresso (Short Black),Sometimes,Male,Lebanon,18 to 29
21,9.0,5.0,While coding,Sometimes,Nescafe,Yes,Male,Lebanon,18 to 29
22,4.0,2.0,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,18 to 29
23,8.0,3.0,While coding,No,Turkish,No,Male,Lebanon,40 to 49
24,5.0,3.0,While coding,Sometimes,Cappuccino,Sometimes,Male,Lebanon,Under 18
25,6.0,3.0,While coding,Yes,Nescafe,No,Female,Lebanon,30 to 39
26,7.0,4.0,Before coding,Sometimes,Espresso (Short Black),No,Male,Lebanon,30 to 39
27,8.0,4.0,While coding,Sometimes,Turkish,Yes,Male,Lebanon,30 to 39
28,7.0,1.0,Before coding,Yes,Nescafe,Yes,Male,Lebanon,30 to 39
29,2.0,2.0,While coding,Sometimes,American Coffee,Sometimes,Male,Lebanon,40 to 49
30,10.0,6.0,All the time,No,American Coffee,Yes,Male,Lebanon,30 to 39
31,2.0,2.0,While coding,No,Nescafe,Sometimes,Female,Lebanon,18 to 29
32,9.0,2.0,Before coding,Sometimes,Nescafe,Sometimes,Female,Lebanon,18 to 29
33,4.0,1.0,Before coding,Yes,Nescafe,No,Male,Lebanon,30 to 39
34,6.0,2.0,While coding,Sometimes,Espresso (Short Black),Sometimes,Male,Lebanon,18 to 29
35,2.0,2.0,While coding,Yes,American Coffee,No,Male,Lebanon,30 to 39
36,2.0,3.0,All the time,Sometimes,Turkish,Sometimes,Male,Lebanon,30 to 39
37,7.0,7.0,After coding,Yes,Turkish,Yes,Female,Lebanon,40 to 49
38,1.0,1.0,While coding,Yes,Cappuccino,Yes,Male,Lebanon,40 to 49
39,4.0,2.0,While coding,Yes,Turkish,No,Male,Lebanon,50 to 59
40,8.0,2.0,While coding,Sometimes,Turkish,No,Male,Lebanon,30 to 39
41,8.0,4.0,While coding,Sometimes,Turkish,Yes,Male,Lebanon,30 to 39
42,3.0,2.0,While coding,Sometimes,American Coffee,Sometimes,Female,Lebanon,30 to 39
43,10.0,6.0,While coding,Sometimes,Nescafe,No,Male,Lebanon,18 to 29
44,3.0,2.0,After coding,Yes,Espresso (Short Black),Sometimes,Male,Lebanon,40 to 49
45,7.0,2.0,While coding,Sometimes,American Coffee,No,Female,Lebanon,18 to 29
46,2.0,1.0,While coding,Sometimes,Caffè latte,No,Female,Lebanon,18 to 29
47,9.0,1.0,In the morning,Yes,Nescafe,No,Female,Lebanon,18 to 29
48,8.0,2.0,Before coding,No,Nescafe,No,Female,Lebanon,18 to 29
49,6.0,1.0,Before coding,Yes,Nescafe,No,Male,Lebanon,30 to 39
50,6.0,1.0,Before coding,Yes,Nescafe,No,Male,Lebanon,30 to 39
51,8.0,3.0,While coding,Sometimes,American Coffee,Yes,Male,Lebanon,18 to 29
52,8.0,2.0,Before coding,Sometimes,American Coffee,Yes,Male,Lebanon,18 to 29
53,3.0,3.0,While coding,No,Turkish,No,Male,Lebanon,18 to 29
